,DATABASE_NAME,SCHEMA,NAME,TYPE,SELF_REFERENCING_COL_NAME,DATABASE
216,V8_NEWYORK_NY_LIVE,COMPS,LAND_BACKUP_BID,TABLE,,production
217,V8_NEWYORK_NY_LIVE,COMPS,LAND_DEPTH_CURVE,TABLE,,production
218,V8_NEWYORK_NY_LIVE,COMPS,LANDCURV,TABLE,,production
219,V8_NEWYORK_NY_LIVE,COMPS,LANDGROUP,TABLE,,production
220,V8_NEWYORK_NY_LIVE,COMPS,LANDSCLC,TABLE,,production
221,V8_NEWYORK_NY_LIVE,COMPS,LANDSCLCDETAILS,TABLE,,production
222,V8_NEWYORK_NY_LIVE,COMPS,LANDSPUV,TABLE,,production
223,V8_NEWYORK_NY_LIVE,COMPS,LANDUSE,TABLE,,production
224,V8_NEWYORK_NY_LIVE,COMPS,LERTA,TABLE,,production
225,V8_NEWYORK_NY_LIVE,COMPS,LNDSIZADJ,TABLE,,production
226,V8_NEWYORK_NY_LIVE,COMPS,LOCNHIST,TABLE,,production
227,V8_NEWYORK_NY_LIVE,COMPS,MODEL,TABLE,,production
228,V8_NEWYORK_NY_LIVE,COMPS,MS1GROUP,TABLE,,production
229,V8_NEWYORK_NY_LIVE,COMPS,MULTIOWNER,TABLE,,production
230,V8_NEWYORK_NY_LIVE,COMPS,MUNICIP,TABLE,,production
231,V8_NEWYORK_NY_LIVE,COMPS,MVP_COMPONENTS,TABLE,,production
232,V8_NEWYORK_NY_LIVE,COMPS,MVP_CONSTRSUM,TABLE,,production
233,V8_NEWYORK_NY_LIVE,COMPS,MVP_PARCEL,TABLE,,production
234,V8_NEWYORK_NY_LIVE,COMPS,MVP_SECTION,TABLE,,production
235,V8_NEWYORK_NY_LIVE,COMPS,NBHD,TABLE,,production
236,V8_NEWYORK_NY_LIVE,COMPS,NOTES,TABLE,,production
237,V8_NEWYORK_NY_LIVE,COMPS,NOTICEHIST,TABLE,,production
238,V8_NEWYORK_NY_LIVE,COMPS,OBXF,TABLE,,production
239,V8_NEWYORK_NY_LIVE,COMPS,OBXFTABL,TABLE,,production
240,V8_NEWYORK_NY_LIVE,COMPS,OCC,TABLE,,production
241,V8_NEWYORK_NY_LIVE,COMPS,OTHERASS,TABLE,,production
242,V8_NEWYORK_NY_LIVE,COMPS,OVRADJ,TABLE,,production
243,V8_NEWYORK_NY_LIVE,COMPS,PARCEL,TABLE,,production
244,V8_NEWYORK_NY_LIVE,COMPS,PARCEL_EXEMPTION,TABLE,,production
245,V8_NEWYORK_NY_LIVE,COMPS,PARCEL_EXEMPTION_TAX_AUTHORITY,TABLE,,production
246,V8_NEWYORK_NY_LIVE,COMPS,PARCEL_EXT,TABLE,,production
247,V8_NEWYORK_NY_LIVE,COMPS,PARCEL_EXTENSION,TABLE,,production
248,V8_NEWYORK_NY_LIVE,COMPS,PEXEMPT,TABLE,,production
249,V8_NEWYORK_NY_LIVE,COMPS,PHASEIN,TABLE,,production
250,V8_NEWYORK_NY_LIVE,COMPS,POINTS,TABLE,,production
251,V8_NEWYORK_NY_LIVE,COMPS,PROPERTY_ADJUST,TABLE,,production
252,V8_NEWYORK_NY_LIVE,COMPS,PSCHILD,TABLE,,production
253,V8_NEWYORK_NY_LIVE,COMPS,PSMASTER,TABLE,,production
254,V8_NEWYORK_NY_LIVE,COMPS,REAL_OWNERSHIP,TABLE,,production
255,V8_NEWYORK_NY_LIVE,COMPS,REALCFG,TABLE,,production
256,V8_NEWYORK_NY_LIVE,COMPS,REALMAST,TABLE,,production
257,V8_NEWYORK_NY_LIVE,COMPS,REGION,TABLE,,production
258,V8_NEWYORK_NY_LIVE,COMPS,REGMODEL,TABLE,,production
259,V8_NEWYORK_NY_LIVE,COMPS,REGVAR,TABLE,,production
260,V8_NEWYORK_NY_LIVE,COMPS,REIMAGES,TABLE,,production
261,V8_NEWYORK_NY_LIVE,COMPS,REMISSION,TABLE,,production
262,V8_NEWYORK_NY_LIVE,COMPS,RFC,TABLE,,production
263,V8_NEWYORK_NY_LIVE,COMPS,SALECODE,TABLE,,production
264,V8_NEWYORK_NY_LIVE,COMPS,SALEHIST,TABLE,,production
265,V8_NEWYORK_NY_LIVE,COMPS,SATREND,TABLE,,production
266,V8_NEWYORK_NY_LIVE,COMPS,SITEIDX,TABLE,,production
267,V8_NEWYORK_NY_LIVE,COMPS,SIZADJ,TABLE,,production
268,V8_NEWYORK_NY_LIVE,COMPS,SKETCH,TABLE,,production
269,V8_NEWYORK_NY_LIVE,COMPS,SPCLCOND,TABLE,,production
270,V8_NEWYORK_NY_LIVE,COMPS,SPCLLUSE,TABLE,,production
271,V8_NEWYORK_NY_LIVE,COMPS,SPECIAL_EDIT,TABLE,,production
272,V8_NEWYORK_NY_LIVE,COMPS,SPSSGROUP,TABLE,,production
273,V8_NEWYORK_NY_LIVE,COMPS,STATDATA,TABLE,,production
274,V8_NEWYORK_NY_LIVE,COMPS,STATGROUP,TABLE,,production
275,V8_NEWYORK_NY_LIVE,COMPS,STYLE,TABLE,,production
276,V8_NEWYORK_NY_LIVE,COMPS,SUBAREA,TABLE,,production
277,V8_NEWYORK_NY_LIVE,COMPS,TAX_CLASS,TABLE,,production
278,V8_NEWYORK_NY_LIVE,COMPS,TAXCLASSCONFIG,TABLE,,production
279,V8_NEWYORK_NY_LIVE,COMPS,TAXCLASSSPCLASS,TABLE,,production
280,V8_NEWYORK_NY_LIVE,COMPS,TENANCY_GROUP,TABLE,,production
281,V8_NEWYORK_NY_LIVE,COMPS,TRACKSTART,TABLE,,production
282,V8_NEWYORK_NY_LIVE,COMPS,USRAUDIT,TABLE,,production
283,V8_NEWYORK_NY_LIVE,COMPS,VALUE_RELATED_PARCELS,TABLE,,production
284,V8_NEWYORK_NY_LIVE,COMPS,VALUEBUILDING,TABLE,,production
285,V8_NEWYORK_NY_LIVE,COMPS,VALUEGROUP,TABLE,,production
286,V8_NEWYORK_NY_LIVE,COMPS,VISIONBATCH,TABLE,,production
287,V8_NEWYORK_NY_LIVE,COMPS,VISITHST,TABLE,,production
288,V8_NEWYORK_NY_LIVE,COMPS,ZCONTOUR,TABLE,,production
289,V8_NEWYORK_NY_LIVE,COMPS,ZONE,TABLE,,production
290,V8_NEWYORK_NY_LIVE,CONV,COMMNBHD_ORIG,TABLE,,production
291,V8_NEWYORK_NY_LIVE,CONV,CONDO_BAK_042722,TABLE,,production
292,V8_NEWYORK_NY_LIVE,CONV,CONDOS_REMAP_AND_ADD,TABLE,,production
293,V8_NEWYORK_NY_LIVE,CONV,LANDCURV_ORIG,TABLE,,production
294,V8_NEWYORK_NY_LIVE,CONV,LANDGROUP_ORIG,TABLE,,production
295,V8_NEWYORK_NY_LIVE,CONV,OBXF_BAK_VM_LIVE,TABLE,,production
296,V8_NEWYORK_NY_LIVE,CONV,PARCEL_BAK_042722,TABLE,,production
297,V8_NEWYORK_NY_LIVE,CONV,PARCEL_BAK_062222,TABLE,,production
298,V8_NEWYORK_NY_LIVE,CONV,REALMAST_BAK_042722,TABLE,,production
299,V8_NEWYORK_NY_LIVE,CONV,SITEIDX_ORIG,TABLE,,production
300,V8_NEWYORK_NY_LIVE,CONV,SKETCH_CONVERSION_ERROR_CS_LOG,TABLE,,production
301,V8_NEWYORK_NY_LIVE,CONV,SKETCH_CONVERSION_ERROR_LOG,TABLE,,production
302,V8_NEWYORK_NY_LIVE,CONV,SKETCH_CONVERSION_ERROR_SA_LOG,TABLE,,production
303,V8_NEWYORK_NY_LIVE,CONV,SPCLCOND_ORIG,TABLE,,production
304,V8_NEWYORK_NY_LIVE,CONV,TABLES_THAT_EXIST_WITH_VALID_RECORDS,TABLE,,production
305,V8_NEWYORK_NY_LIVE,CONV,v_logs,TABLE,,production
306,V8_NEWYORK_NY_LIVE,CONV,V_OUTLIERS_BOBJUNE_OCC4,TABLE,,production
307,V8_NEWYORK_NY_LIVE,CONV,VALID_INS_ERRORS,TABLE,,production
308,V8_NEWYORK_NY_LIVE,CONV,VALID_MERGE_ERRORS,TABLE,,production
309,V8_NEWYORK_NY_LIVE,DATA_BACKUP,CostBatchRecalc,TABLE,,production
310,V8_NEWYORK_NY_LIVE,DATA_BACKUP,CostRecalcPids,TABLE,,production
311,V8_NEWYORK_NY_LIVE,DATA_BACKUP,FinalCapRate,TABLE,,production
312,V8_NEWYORK_NY_LIVE,DATA_BACKUP,FinalCapRate2,TABLE,,production
313,V8_NEWYORK_NY_LIVE,DATA_BACKUP,FinalCapRateTest,TABLE,,production
